Unnamed..0,Artist,Album,Album_Id,Popularity,Fan_Genre,SongList,average_liveness,average_loudness,average_tempo,average_instrumentalness,average_energy,average_danceability,average_acousticness,average_valence,Album_release,Album_length,Album_label
122,The Smiths,The Queen Is Dead,5Y0p2XCgRRIjna91aQE8q7,22,Soul,"['03ZwNF6FTvazNuOXNQf8k8', '1qIagqll7ZcgmiLTrtSvKc', '3M2bD9SMYnJIPdrTKUnBd3', '2VyOpoblI3AHO6R8dr87Ia', '03yOjwHoOPDlTUg0NRxN6t', '2OErSh4oVVAUll0vHxdr6p', '6s1lXoCa6EmIGnr0GrwcJp', '59cZGLKHgcYWd0z4fvtikE', '0WQiDwKJclirSYG9v5tayI', '3znapZvsInnCVsDERDUaM5']",0.375,-7.325,134.1936,0.0024687,0.775,0.4911,0.0698,0.6573,1986,10,WM UK
707,The Smiths,The Queen Is Dead,5Y0p2XCgRRIjna91aQE8q7,7,Indie,"['03ZwNF6FTvazNuOXNQf8k8', '1qIagqll7ZcgmiLTrtSvKc', '3M2bD9SMYnJIPdrTKUnBd3', '2VyOpoblI3AHO6R8dr87Ia', '03yOjwHoOPDlTUg0NRxN6t', '2OErSh4oVVAUll0vHxdr6p', '6s1lXoCa6EmIGnr0GrwcJp', '59cZGLKHgcYWd0z4fvtikE', '0WQiDwKJclirSYG9v5tayI', '3znapZvsInnCVsDERDUaM5']",0.375,-7.325,134.1936,0.0024687,0.775,0.4911,0.0698,0.6573,1986,10,WM UK
716,The Smiths,Hatful of Hollow,1j57Q5ntVi7crpibb0h4sv,16,Indie,"['6SwqPZs0XuSnyqkbnkkAjQ', '65E3ajL0Yz7kljk89Qdm6Q', '27BNAWiJgEi0anWjNXMaBJ', '16LKuftb5zZ8kYweuQ7YER', '1YrnDTqvcnUKxAIeXyaEmU', '0NFYBiY95SUauRVdgf77PK', '0Due7jDdu0EAWHUEw12H2p', '0EZfYGI2JDK9a8HJpBw2Ua', '1xaTREM89RbIxkcjlpf4Uw', '69Kzq3FMkDwiSFBQzRckFD', '3g32LU2wHBlVO5pMbsjfPk', '1PhnGug15WBUZZUEp7DDY8', '3UPpzmVM8UHimVKfpAg4xP', '62v1MU1PFXL6AUTyST8PJU', '2AUmcdyrTV9uZmvJ752jQd', '6BrMEbPSSj55nQhkgf6DnE']",0.171875,-7.23875,139.1086875,0.059551562,0.82275,0.45725,0.095572378,0.6280625,1984,16,WM UK
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
